date,id,content,username,like count,retweet count
2023-05-18 09:39:51+00:00,1659131678005116928,"Theodosius Atallah Hanna, the Archbishop of Sebastia from the Greek Orthodox Patriarchate of occupied #Palestine, told #AlMayadeen that the occupied Al-Quds is in the hearts of the entirety of the Palestinian people.
Al Mayadeen's correspondent in occupied #AlQuds reported earlier today that more than 900 Israeli settlers stormed #AlAqsa Mosque on Thursday morning.",MayadeenEnglish,0,0
2023-05-18 09:37:08+00:00,1659130992748109826,75 years of ongoing #EthnicCleansing of #Palestine,yaznemo,1,0
2023-05-18 09:32:11+00:00,1659129748465876995,#CNN #msnbc #foxnews @CNN @MSNBC @FoxNews  #Israel is attacking #Palestine right now but let's focus in #Russian attacking #Ukraine then you wonder why the #american people dont trust you and most likely you would never cover it this conflict but independent people know the truth https://t.co/LGFjZoPWMy,ReyGuss,0,0
2023-05-18 09:28:08+00:00,1659128727140290560,"Get ready for Faris Ishaq’s latest single coming soon on all streaming platforms!
Part of Nest Incubator releases | Supported by DROSOS and in partnership with AFAC

#JafraProductions #Palestine #NewRelease  #newsong  #Production #Soon #musicians https://t.co/SX6noh5CMi",JafraProduction,0,0
2023-05-18 09:27:15+00:00,1659128505072795650,"#Israeli Police Turns #Jerusalem into Military Barracks Ahead of the So-Called Flag March
#Palestine #Unews
https://t.co/JVH1e0AGbs https://t.co/tz0kvkJrSh",UnewsAgency,1,0
2023-05-18 09:27:03+00:00,1659128454917541888,Gaza: Israel bombing gives Palestinian children no time to process trauma #MEE #Palestine https://t.co/PF6qUD7uEZ,Eye_On_Gaza,0,0
2023-05-18 09:24:09+00:00,1659127725481771008,"@Benzotronn @TigayBarry @StateSEAS Zionism's opening line is about Jewish supremacy in #Palestine lol Where does Zionism ever claim any non-Jews have equal rights hahahaha The #apartheidisrael National State Bill makes very clear Jewish supremacy over all non-Jews. Stop lying, denying &amp; deflecting for #apartheid",Monty_LFC,0,0
2023-05-18 09:22:23+00:00,1659127281372020736,#Palestinians raise the flags of #Palestine in Jerusalem’s Silwan neighbourhood amid calls to #RaiseYourFlag (the flag of Palestine) in response to #Israel’s Thursday ultra-nationalist “#FlagMarch.” https://t.co/ltRqFCpXkM,SHNEEWRAh,0,0
2023-05-18 09:19:59+00:00,1659126678411522051,@Benzotronn @TigayBarry @StateSEAS Zionism is not from #Palestine It is a European cult created by European Jews not Jews native 2 Palestine or Arab world but European Jews with little connection 2 region bar a 'promise' from a God 4000 years ago. Zionism most definitely does not claim every1 has equal rights lol,Monty_LFC,0,0
2023-05-18 09:15:34+00:00,1659125567436861441,"@MiddleEastEye @Jonathan_K_Cook “The kibbutz were hothouses for raising a disciplined, ascetic new Ashkenazi elite”

Who, Israeli historian Shlomo Sands &amp; Israeli scholar Israel Finkelstein state have no historical connection to #Palestine
Ron Unz - Jews - swindlers fraudsters, liars

https://t.co/fAsR3cQvYy https://t.co/b3L7EQzCSo",accouder,0,0
2023-05-18 09:15:27+00:00,1659125536570896384,"(2/2) Listen to the full interview on our website.
https://t.co/T7lNPLABNs

#Palestine #WestBank #Hebron #MasaferYatta #SaveMasaferYatta #activism #youthactivism #child #chidren #marathon #running #5k",J24FMPalestine,0,0
